"LOCATION_NAME","LONGITUDE","LATITUDE"
"ÜMRANİYE ATATÜRK MAH.","29.090853","41.025548"
"ALTINKUM ÖZEL EĞİTİM MERKEZİ KOMUTANLIĞI","28.721899","40.981589"
"007-Sile Itfaiye","29.619854","41.176333"
"ATAŞEHİR İÇERENKÖY","29.11531","40.96852"
"ISADEM-Bagcilar","28.857501","41.0251"
"KARTAL ORHANTEPE","29.169653","40.899195"
"030-Fethipasa Korusu","29.027314","41.032534"
"IETT Garaj-Ikitelli-Out","28.472943","41.033105"
"ÜSKÜDAR YAVUZTÜRK","29.083319","41.034872"
"018-Umraniye Cakmak Koprusu","29.121328","41.020929"
"BAHÇELİEVLER SİYAVUŞPAŞA","28.849411","41.003966"
"ÇEKMEKÖY TAŞDELEN","29.227138","41.031758"
"031-Kucukyali Sahil Parki","29.105641","40.94411"
"ISKI-Sile","29.613389","41.179058"
"018-Vezneciler Meydan","28.959206","41.012147"
"İSMEK-İHKİB-ÇSD ÇORAP MAKİNACI EĞİTİMİ","28.89041","41.01339"
"014-Baris Manco Halk ve Cocuk Ku","28.873136","41.053895"
"001-Cemberlitas Serefiye Sarnici","28.972356","41.007284"
"K.ÇEKMECE SEFAKÖY SPOR EĞİTİM MERKEZİ","28.795158","41.00529"
"001-Esenler Otogar Beyaz Masa","28.894728","41.040605"
"TUZLA SAHİL SPOR TESİSİ","29.3101862798881","40.8128909701959"
"BAĞCILAR FEVZİÇAKMAK","28.858176","41.045586"
"IETT GM-Gumussuyu","28.591082","41.022278"
"MALTEPE ÇOCUK TUTUK  EVİ","28.94416","41.0147"
"012-Esenler Kadir Topbas Kultur Merkezi","28.882518","41.035633"
"001-Yenikapi Deniz Isletmesi","28.953072","41.000195"
"066-Deneyap Erdem Beyazit Kultur Merkezi","28.877215","41.028642"
"ESENLER FATİH","28.86675","41.04226"
"024-Kasimpasa Sosyal Tesisleri","28.9668","41.029852"
"059-Sultanbeyli Mezarliklar","29.258734","40.968617"
"032-Safa Tepesi Park ve Bahceler","29.25461","41.013224"
"IETT Garaj-Sarigazi-In","29.120662","41.011656"
"HALKALI YÜZME HAVUZU","28.7994146015221","41.0447928652476"
"FIRINCILIK VE PASTACILIK OKULU","28.899142","41.020224"
"METRO-T1 Zeytinburnu","28.890222","41.001486"
"038-Bahcelievler Otobus Duragi","28.863886","40.995459"
"038-Kozyatagi Otobus Duragi","29.099479","40.975596"
"018-Kartal Meydan","29.189346","40.88982"
"IETT Garaj-Kagithane-Out","28.573054","41.035648"
"009-Kartal Zabita Tedbir","29.188153","40.912237"
"ISKI-Bahcelievler","28.864447","41.012313"
"METRO T1-BEYAZIT","28.966854","41.008945"
"001-DTM-Baskanlik Ofisi","28.832133","40.98555"
"PENDİK ÇAMLIK SPOR TESİSİ","29.2796056790699","40.9287081268918"
"001-Bahcelievler Cevre Koruma","28.826538","40.997714"
"056-BELTUR Miniaturk Kafe","28.948646","41.058578"
"066-Deneyap Esenyurt Kultur Merkezi","28.683162","41.028442"
"012-Yahya Kemal Beyatli Kultur M","28.80303","41.030465"
"IETT Garaj-Kagithane-Uyg","28.573054","41.035648"
"BAŞAKŞEHİR 5.ETAP","28.80577","41.0943"
"ISADEM-Fatih","28.939961","41.019943"
"017-Beyoglu Istiklal Caddesi","28.977381","41.033458"
"025-Sile Spor Kompleksi","29.588511","41.155046"
"001-Kartal Ilaclama Birimi","29.188325","40.914345"
"067-Mehmet Akif Ersoy Hastanesi","28.777532","41.033972"
"001-Beylikduzu Vektorler Birimi","28.642354","41.000244"
"032-Eminonu Park ve Bahceler","28.98077","41.014188"
"001-IBB Kartal Ek Hizmet Binasi","29.188055","40.912915"
"METRO T1-FINDIKLI","28.989436","41.031482"
